k,eval_avg_p,eval_avg_r,eval_avg_f,conll_md_p,conll_md_r,conll_md_f,conll_muc_p,conll_muc_r,conll_muc_f,conll_bcub_p,conll_bcub_r,conll_bcub_f,conll_ceafe_p,conll_ceafe_r,conll_ceafe_f,conll_avg_f
46,98.80,97.74,98.27,100.0,99.88,99.94,99.93,99.82,99.87,99.57,99.51,99.54,99.81,99.67,99.74,99.7167
47,98.82,97.78,98.30,100.0,99.88,99.94,99.94,99.83,99.89,99.62,99.55,99.59,99.82,99.69,99.75,99.7433
48,98.84,97.83,98.33,100.0,99.89,99.94,99.94,99.84,99.89,99.63,99.58,99.6,99.82,99.71,99.77,99.7533
49,98.86,97.86,98.36,100.0,99.89,99.94,99.94,99.84,99.89,99.66,99.57,99.62,99.85,99.72,99.79,99.7667
50,98.88,97.90,98.39,100.0,99.89,99.94,99.94,99.84,99.89,99.66,99.57,99.62,99.85,99.72,99.79,99.7667
51,98.90,97.94,98.41,100.0,99.89,99.94,99.94,99.84,99.89,99.66,99.57,99.62,99.85,99.72,99.79,99.7667
52,98.91,97.97,98.44,100.0,99.89,99.94,99.94,99.84,99.89,99.66,99.57,99.62,99.85,99.72,99.79,99.7667
53,98.93,98.00,98.47,100.0,99.89,99.94,99.95,99.85,99.9,99.67,99.58,99.63,99.86,99.75,99.81,99.7800
54,98.95,98.04,98.49,100.0,99.89,99.94,99.95,99.86,99.9,99.67,99.59,99.63,99.89,99.76,99.82,99.7833
55,98.96,98.07,98.51,100.0,99.9,99.95,99.95,99.86,99.91,99.67,99.6,99.63,99.9,99.76,99.83,99.7900
56,98.98,98.10,98.54,100.0,99.9,99.95,99.95,99.86,99.91,99.67,99.6,99.63,99.9,99.76,99.83,99.7900
57,99.00,98.13,98.56,100.0,99.9,99.95,99.95,99.86,99.91,99.67,99.6,99.63,99.9,99.76,99.83,99.7900
58,99.01,98.15,98.58,100.0,99.9,99.95,99.95,99.86,99.91,99.67,99.6,99.63,99.9,99.76,99.83,99.7900
59,99.02,98.18,98.60,100.0,99.9,99.95,99.95,99.87,99.91,99.67,99.61,99.64,99.9,99.76,99.83,99.7933
60,99.04,98.21,98.62,100.0,99.9,99.95,99.95,99.87,99.91,99.67,99.61,99.64,99.9,99.76,99.83,99.7933
61,99.05,98.23,98.64,100.0,99.9,99.95,99.95,99.87,99.91,99.67,99.61,99.64,99.9,99.76,99.83,99.7933
62,99.06,98.26,98.66,100.0,99.91,99.95,99.95,99.88,99.91,99.67,99.62,99.64,99.9,99.76,99.83,99.7933
63,99.08,98.28,98.68,100.0,99.91,99.95,99.95,99.88,99.91,99.67,99.62,99.64,99.9,99.76,99.83,99.7933
64,99.09,98.30,98.70,100.0,99.92,99.96,99.95,99.88,99.92,99.71,99.63,99.67,99.9,99.79,99.84,99.8100
65,99.10,98.33,98.71,100.0,99.92,99.96,99.95,99.88,99.92,99.71,99.63,99.67,99.9,99.79,99.84,99.8100
66,99.11,98.35,98.73,100.0,99.92,99.96,99.95,99.88,99.92,99.71,99.63,99.67,99.9,99.79,99.84,99.8100
67,99.12,98.37,98.75,100.0,99.92,99.96,99.95,99.88,99.92,99.71,99.63,99.67,99.9,99.79,99.84,99.8100
